iter	Passed	Remaining
0	235	35028
1	426	31568
2	619	30350
3	812	29653
4	1000	29006
5	1194	28663
6	1365	27893
7	1563	27753
8	1736	27204
9	1927	26985
10	2095	26483
11	2274	26157
12	2448	25804
13	2630	25551
14	2811	25307
15	2978	24947
16	3158	24712
17	3337	24476
18	3533	24362
19	3695	24018
20	3861	23723
21	4033	23469
22	4194	23159
23	4364	22911
24	4558	22791
25	4732	22572
26	4939	22500
27	5096	22206
28	5256	21932
29	5416	21667
30	5577	21411
31	5735	21147
32	5877	20837
33	6036	20596
34	6195	20357
35	6363	20151
36	6541	19979
37	6686	19708
38	6863	19535
39	6993	19231
40	7140	18982
41	7277	18714
42	7431	18491
43	7583	18268
44	7749	18081
45	7886	17830
46	8036	17612
47	8184	17391
48	8359	17229
49	8505	17011
50	8657	16806
51	8806	16597
52	8933	16350
53	9079	16142
54	9202	15894
55	9331	15664
56	9469	15450
57	9629	15275
58	9777	15080
59	9936	14904
60	10052	14666
61	10205	14485
62	10388	14345
63	10561	14191
64	10699	13992
65	10826	13779
66	10985	13609
67	11111	13399
68	11249	13206
69	11377	13002
70	11523	12822
71	11678	12651
72	11812	12459
73	11966	12290
74	12132	12132
75	12260	11937
76	12410	11766
77	12543	11578
78	12709	11422
79	12877	11268
80	13021	11092
81	13141	10897
82	13268	10711
83	13442	10561
84	13602	10401
85	13758	10238
86	13913	10075
87	14056	9903
88	14207	9737
89	14344	9562
90	14496	9398
91	14628	9222
92	14770	9053
93	14954	8909
94	15101	8742
95	15248	8577
96	15387	8407
97	15538	8244
98	15688	8081
99	15799	7899
100	15960	7743
101	16090	7571
102	16216	7399
103	16397	7252
104	16518	7079
105	16689	6927
106	16827	6762
107	16984	6605
108	17100	6432
109	17262	6277
110	17412	6118
111	17558	5957
112	17678	5788
113	17834	5632
114	17989	5475
115	18152	5320
116	18304	5162
117	18444	5001
118	18608	4847
119	18781	4695
120	18921	4535
121	19070	4376
122	19246	4224
123	19390	4065
124	19521	3904
125	19628	3738
126	19769	3580
127	19924	3424
128	20083	3269
129	20244	3114
130	20394	2957
131	20507	2796
132	20666	2641
133	20845	2488
134	20998	2333
135	21123	2174
136	21247	2016
137	21382	1859
138	21546	1705
139	21684	1548
140	21834	1393
141	21985	1238
142	22148	1084
143	22285	928
144	22431	773
145	22580	618
146	22717	463
147	22828	308
148	23007	154
149	23169	0
